"SEX","AGE","GEO","CITIZEN","ASYL_APP","UNIT","TIME","Value","Flag and Footnotes"
"Total","From 35 to 64 years","Czech Republic","Extra-EU28 (current composition)","First time applicant","Person","2016","370",""
"Total","From 35 to 64 years","Denmark","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,025",""
"Total","From 35 to 64 years","Denmark","Extra-EU28 (current composition)","First time applicant","Person","2016","990",""
"Total","From 35 to 64 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","121,775",""
"Total","From 35 to 64 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","First time applicant","Person","2016","115,960",""
"Total","From 35 to 64 years","Estonia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","30",""
"Total","From 35 to 64 years","Estonia","Extra-EU28 (current composition)","First time applicant","Person","2016","25",""
"Total","From 35 to 64 years","Ireland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","530",""
"Total","From 35 to 64 years","Ireland","Extra-EU28 (current composition)","First time applicant","Person","2016","525",""
"Total","From 35 to 64 years","Greece","Extra-EU28 (current composition)","Asylum applicant","Person","2016","9,155",""
"Total","From 35 to 64 years","Greece","Extra-EU28 (current composition)","First time applicant","Person","2016","8,775",""
"Total","From 35 to 64 years","Spain","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,645",""
"Total","From 35 to 64 years","Spain","Extra-EU28 (current composition)","First time applicant","Person","2016","3,590",""
"Total","From 35 to 64 years","France","Extra-EU28 (current composition)","Asylum applicant","Person","2016","20,095",""
"Total","From 35 to 64 years","France","Extra-EU28 (current composition)","First time applicant","Person","2016","17,005",""
"Total","From 35 to 64 years","Croatia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","300",""
"Total","From 35 to 64 years","Croatia","Extra-EU28 (current composition)","First time applicant","Person","2016","285",""
"Total","From 35 to 64 years","Italy","Extra-EU28 (current composition)","Asylum applicant","Person","2016","12,825",""
"Total","From 35 to 64 years","Italy","Extra-EU28 (current composition)","First time applicant","Person","2016","12,300",""
"Total","From 35 to 64 years","Cyprus","Extra-EU28 (current composition)","Asylum applicant","Person","2016","525",""
"Total","From 35 to 64 years","Cyprus","Extra-EU28 (current composition)","First time applicant","Person","2016","515",""
"Total","From 35 to 64 years","Latvia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","65",""
"Total","From 35 to 64 years","Latvia","Extra-EU28 (current composition)","First time applicant","Person","2016","60",""
"Total","From 35 to 64 years","Lithuania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","120",""
"Total","From 35 to 64 years","Lithuania","Extra-EU28 (current composition)","First time applicant","Person","2016","110",""
"Total","From 35 to 64 years","Luxembourg","Extra-EU28 (current composition)","Asylum applicant","Person","2016","440",""
"Total","From 35 to 64 years","Luxembourg","Extra-EU28 (current composition)","First time applicant","Person","2016","360",""
"Total","From 35 to 64 years","Hungary","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,585",""
"Total","From 35 to 64 years","Hungary","Extra-EU28 (current composition)","First time applicant","Person","2016","3,390",""
"Total","From 35 to 64 years","Malta","Extra-EU28 (current composition)","Asylum applicant","Person","2016","395",""
"Total","From 35 to 64 years","Malta","Extra-EU28 (current composition)","First time applicant","Person","2016","345",""
"Total","From 35 to 64 years","Netherlands","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,920",""
"Total","From 35 to 64 years","Netherlands","Extra-EU28 (current composition)","First time applicant","Person","2016","3,475",""
"Total","From 35 to 64 years","Austria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5,400",""
"Total","From 35 to 64 years","Austria","Extra-EU28 (current composition)","First time applicant","Person","2016","4,885",""
"Total","From 35 to 64 years","Poland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,385",""
"Total","From 35 to 64 years","Poland","Extra-EU28 (current composition)","First time applicant","Person","2016","1,740",""
"Total","From 35 to 64 years","Portugal","Extra-EU28 (current composition)","Asylum applicant","Person","2016","290",""
"Total","From 35 to 64 years","Portugal","Extra-EU28 (current composition)","First time applicant","Person","2016","165",""
"Total","From 35 to 64 years","Romania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","335",""
"Total","From 35 to 64 years","Romania","Extra-EU28 (current composition)","First time applicant","Person","2016","325",""
"Total","From 35 to 64 years","Slovenia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","180",""
"Total","From 35 to 64 years","Slovenia","Extra-EU28 (current composition)","First time applicant","Person","2016","175",""
"Total","From 35 to 64 years","Slovakia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","30",""
"Total","From 35 to 64 years","Slovakia","Extra-EU28 (current composition)","First time applicant","Person","2016","15",""
"Total","From 35 to 64 years","Finland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,015",""
"Total","From 35 to 64 years","Finland","Extra-EU28 (current composition)","First time applicant","Person","2016","940",""
"Total","From 35 to 64 years","Sweden","Extra-EU28 (current composition)","Asylum applicant","Person","2016","6,255",""
"Total","From 35 to 64 years","Sweden","Extra-EU28 (current composition)","First time applicant","Person","2016","4,490",""
"Total","From 35 to 64 years","United Kingdom","Extra-EU28 (current composition)","Asylum applicant","Person","2016","8,405",""
"Total","From 35 to 64 years","United Kingdom","Extra-EU28 (current composition)","First time applicant","Person","2016","8,360",""
"Total","From 35 to 64 years","Iceland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","260",""
"Total","From 35 to 64 years","Iceland","Extra-EU28 (current composition)","First time applicant","Person","2016","250",""
"Total","From 35 to 64 years","Liechtenstein","Extra-EU28 (current composition)","Asylum applicant","Person","2016","25",""
"Total","From 35 to 64 years","Liechtenstein","Extra-EU28 (current composition)","First time applicant","Person","2016","25",""
"Total","From 35 to 64 years","Norway","Extra-EU28 (current composition)","Asylum applicant","Person","2016","595",""
"Total","From 35 to 64 years","Norway","Extra-EU28 (current composition)","First time applicant","Person","2016","515",""
"Total","From 35 to 64 years","Switzerland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,150",""
"Total","From 35 to 64 years","Switzerland","Extra-EU28 (current composition)","First time applicant","Person","2016","2,780",""
"Total","From 35 to 64 years","Total","Extra-EU28 (current composition)","Asylum applicant","Person","2016","213,175",""
"Total","From 35 to 64 years","Total","Extra-EU28 (current composition)","First time applicant","Person","2016","197,385",""
"Total","65 years or over","European Union (current composition)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","7,700",""
"Total","65 years or over","European Union (current composition)","Extra-EU28 (current composition)","First time applicant","Person","2016","7,250",""
"Total","65 years or over","Belgium","Extra-EU28 (current composition)","Asylum applicant","Person","2016","195",""
"Total","65 years or over","Belgium","Extra-EU28 (current composition)","First time applicant","Person","2016","170",""
"Total","65 years or over","Bulgaria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","90",""
"Total","65 years or over","Bulgaria","Extra-EU28 (current composition)","First time applicant","Person","2016","90",""
"Total","65 years or over","Czech Republic","Extra-EU28 (current composition)","Asylum applicant","Person","2016","25",""
"Total","65 years or over","Czech Republic","Extra-EU28 (current composition)","First time applicant","Person","2016","25",""
"Total","65 years or over","Denmark","Extra-EU28 (current composition)","Asylum applicant","Person","2016","45",""
"Total","65 years or over","Denmark","Extra-EU28 (current composition)","First time applicant","Person","2016","45",""
"Total","65 years or over","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","4,305",""
"Total","65 years or over","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","First time applicant","Person","2016","4,140",""
"Total","65 years or over","Estonia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","65 years or over","Estonia","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","65 years or over","Ireland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","20",""
"Total","65 years or over","Ireland","Extra-EU28 (current composition)","First time applicant","Person","2016","20",""
"Total","65 years or over","Greece","Extra-EU28 (current composition)","Asylum applicant","Person","2016","320",""
"Total","65 years or over","Greece","Extra-EU28 (current composition)","First time applicant","Person","2016","320",""
"Total","65 years or over","Spain","Extra-EU28 (current composition)","Asylum applicant","Person","2016","145",""
"Total","65 years or over","Spain","Extra-EU28 (current composition)","First time applicant","Person","2016","145",""
"Total","65 years or over","France","Extra-EU28 (current composition)","Asylum applicant","Person","2016","830",""
"Total","65 years or over","France","Extra-EU28 (current composition)","First time applicant","Person","2016","760",""
"Total","65 years or over","Croatia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5",""
"Total","65 years or over","Croatia","Extra-EU28 (current composition)","First time applicant","Person","2016","5",""
"Total","65 years or over","Italy","Extra-EU28 (current composition)","Asylum applicant","Person","2016","85",""
"Total","65 years or over","Italy","Extra-EU28 (current composition)","First time applicant","Person","2016","85",""
"Total","65 years or over","Cyprus","Extra-EU28 (current composition)","Asylum applicant","Person","2016","20",""
"Total","65 years or over","Cyprus","Extra-EU28 (current composition)","First time applicant","Person","2016","20",""
"Total","65 years or over","Latvia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","65 years or over","Latvia","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","65 years or over","Lithuania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5",""
"Total","65 years or over","Lithuania","Extra-EU28 (current composition)","First time applicant","Person","2016","5",""
"Total","65 years or over","Luxembourg","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5",""
"Total","65 years or over","Luxembourg","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","65 years or over","Hungary","Extra-EU28 (current composition)","Asylum applicant","Person","2016","100",""
"Total","65 years or over","Hungary","Extra-EU28 (current composition)","First time applicant","Person","2016","95",""
"Total","65 years or over","Malta","Extra-EU28 (current composition)","Asylum applicant","Person","2016","10",""
"Total","65 years or over","Malta","Extra-EU28 (current composition)","First time applicant","Person","2016","10",""
"Total","65 years or over","Netherlands","Extra-EU28 (current composition)","Asylum applicant","Person","2016","195",""
"Total","65 years or over","Netherlands","Extra-EU28 (current composition)","First time applicant","Person","2016","170",""
"Total","65 years or over","Austria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","175",""
"Total","65 years or over","Austria","Extra-EU28 (current composition)","First time applicant","Person","2016","165",""
"Total","65 years or over","Poland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","75",""
"Total","65 years or over","Poland","Extra-EU28 (current composition)","First time applicant","Person","2016","55",""
"Total","65 years or over","Portugal","Extra-EU28 (current composition)","Asylum applicant","Person","2016","10",""
"Total","65 years or over","Portugal","Extra-EU28 (current composition)","First time applicant","Person","2016","5",""
"Total","65 years or over","Romania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","10",""
"Total","65 years or over","Romania","Extra-EU28 (current composition)","First time applicant","Person","2016","10",""
"Total","65 years or over","Slovenia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","65 years or over","Slovenia","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","65 years or over","Slovakia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5",""
"Total","65 years or over","Slovakia","Extra-EU28 (current composition)","First time applicant","Person","2016","5",""
"Total","65 years or over","Finland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","35",""
"Total","65 years or over","Finland","Extra-EU28 (current composition)","First time applicant","Person","2016","35",""
"Total","65 years or over","Sweden","Extra-EU28 (current composition)","Asylum applicant","Person","2016","590",""
"Total","65 years or over","Sweden","Extra-EU28 (current composition)","First time applicant","Person","2016","480",""
"Total","65 years or over","United Kingdom","Extra-EU28 (current composition)","Asylum applicant","Person","2016","400",""
"Total","65 years or over","United Kingdom","Extra-EU28 (current composition)","First time applicant","Person","2016","395",""
"Total","65 years or over","Iceland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5",""
"Total","65 years or over","Iceland","Extra-EU28 (current composition)","First time applicant","Person","2016","5",""
"Total","65 years or over","Liechtenstein","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","65 years or over","Liechtenstein","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","65 years or over","Norway","Extra-EU28 (current composition)","Asylum applicant","Person","2016","25",""
"Total","65 years or over","Norway","Extra-EU28 (current composition)","First time applicant","Person","2016","25",""
"Total","65 years or over","Switzerland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","105",""
"Total","65 years or over","Switzerland","Extra-EU28 (current composition)","First time applicant","Person","2016","95",""
"Total","65 years or over","Total","Extra-EU28 (current composition)","Asylum applicant","Person","2016","7,835",""
"Total","65 years or over","Total","Extra-EU28 (current composition)","First time applicant","Person","2016","7,375",""
"Total","Unknown","European Union (current composition)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,655",""
"Total","Unknown","European Union (current composition)","Extra-EU28 (current composition)","First time applicant","Person","2016","1,585",""
"Total","Unknown","Belgium","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Belgium","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Bulgaria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Bulgaria","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Czech Republic","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Czech Republic","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Denmark","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Denmark","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5",""
"Total","Unknown","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","First time applicant","Person","2016","5",""
"Total","Unknown","Estonia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Estonia","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Ireland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Ireland","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Greece","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Greece","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Spain","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Spain","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","France","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5",""
"Total","Unknown","France","Extra-EU28 (current composition)","First time applicant","Person","2016","5",""
"Total","Unknown","Croatia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Croatia","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Italy","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5",""
"Total","Unknown","Italy","Extra-EU28 (current composition)","First time applicant","Person","2016","5",""
"Total","Unknown","Cyprus","Extra-EU28 (current composition)","Asylum applicant","Person","2016","10",""
"Total","Unknown","Cyprus","Extra-EU28 (current composition)","First time applicant","Person","2016","10",""
"Total","Unknown","Latvia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Latvia","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Lithuania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Lithuania","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Luxembourg","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Luxembourg","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Hungary","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Hungary","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Malta","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Malta","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Netherlands","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Netherlands","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Austria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Austria","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Poland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Poland","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Portugal","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Portugal","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Romania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Romania","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Slovenia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Slovenia","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Slovakia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Slovakia","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Finland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","25",""
"Total","Unknown","Finland","Extra-EU28 (current composition)","First time applicant","Person","2016","25",""
"Total","Unknown","Sweden","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Sweden","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","United Kingdom","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,605",""
"Total","Unknown","United Kingdom","Extra-EU28 (current composition)","First time applicant","Person","2016","1,540",""
"Total","Unknown","Iceland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Iceland","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Liechtenstein","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Liechtenstein","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Norway","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Total","Unknown","Norway","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","Unknown","Switzerland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5",""
"Total","Unknown","Switzerland","Extra-EU28 (current composition)","First time applicant","Person","2016","5",""
"Total","Unknown","Total","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,660",""
"Total","Unknown","Total","Extra-EU28 (current composition)","First time applicant","Person","2016","1,590",""
"Males","Total","European Union (current composition)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","852,395",""
"Males","Total","European Union (current composition)","Extra-EU28 (current composition)","First time applicant","Person","2016","814,970",""
"Males","Total","Belgium","Extra-EU28 (current composition)","Asylum applicant","Person","2016","11,740",""
"Males","Total","Belgium","Extra-EU28 (current composition)","First time applicant","Person","2016","8,990",""
"Males","Total","Bulgaria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","15,055",""
"Males","Total","Bulgaria","Extra-EU28 (current composition)","First time applicant","Person","2016","14,665",""
"Males","Total","Czech Republic","Extra-EU28 (current composition)","Asylum applicant","Person","2016","920",""
"Males","Total","Czech Republic","Extra-EU28 (current composition)","First time applicant","Person","2016","725",""
"Males","Total","Denmark","Extra-EU28 (current composition)","Asylum applicant","Person","2016","4,290",""
"Males","Total","Denmark","Extra-EU28 (current composition)","First time applicant","Person","2016","4,195",""
"Males","Total","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","487,370",""
"Males","Total","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","First time applicant","Person","2016","472,615",""
"Males","Total","Estonia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","105",""
"Males","Total","Estonia","Extra-EU28 (current composition)","First time applicant","Person","2016","85",""
"Males","Total","Ireland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,390",""
"Males","Total","Ireland","Extra-EU28 (current composition)","First time applicant","Person","2016","1,385",""
"Males","Total","Greece","Extra-EU28 (current composition)","Asylum applicant","Person","2016","32,030",""
"Males","Total","Greece","Extra-EU28 (current composition)","First time applicant","Person","2016","30,995",""
"Males","Total","Spain","Extra-EU28 (current composition)","Asylum applicant","Person","2016","9,400",""
"Males","Total","Spain","Extra-EU28 (current composition)","First time applicant","Person","2016","9,265",""
"Males","Total","France","Extra-EU28 (current composition)","Asylum applicant","Person","2016","54,925",""
"Males","Total","France","Extra-EU28 (current composition)","First time applicant","Person","2016","49,640",""
"Males","Total","Croatia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,900",""
"Males","Total","Croatia","Extra-EU28 (current composition)","First time applicant","Person","2016","1,835",""
"Males","Total","Italy","Extra-EU28 (current composition)","Asylum applicant","Person","2016","104,505",""
"Males","Total","Italy","Extra-EU28 (current composition)","First time applicant","Person","2016","102,945",""
"Males","Total","Cyprus","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,795",""
"Males","Total","Cyprus","Extra-EU28 (current composition)","First time applicant","Person","2016","1,710",""
"Males","Total","Latvia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","220",""
"Males","Total","Latvia","Extra-EU28 (current composition)","First time applicant","Person","2016","215",""
"Males","Total","Lithuania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","265",""
"Males","Total","Lithuania","Extra-EU28 (current composition)","First time applicant","Person","2016","255",""
"Males","Total","Luxembourg","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,550",""
"Males","Total","Luxembourg","Extra-EU28 (current composition)","First time applicant","Person","2016","1,480",""
"Males","Total","Hungary","Extra-EU28 (current composition)","Asylum applicant","Person","2016","22,830",""
"Males","Total","Hungary","Extra-EU28 (current composition)","First time applicant","Person","2016","21,700",""
"Males","Total","Malta","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,360",""
"Males","Total","Malta","Extra-EU28 (current composition)","First time applicant","Person","2016","1,225",""
"Males","Total","Netherlands","Extra-EU28 (current composition)","Asylum applicant","Person","2016","14,415",""
"Males","Total","Netherlands","Extra-EU28 (current composition)","First time applicant","Person","2016","13,330",""
"Males","Total","Austria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","28,305",""
"Males","Total","Austria","Extra-EU28 (current composition)","First time applicant","Person","2016","26,530",""
"Males","Total","Poland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","6,360",""
"Males","Total","Poland","Extra-EU28 (current composition)","First time applicant","Person","2016","5,030",""
"Males","Total","Portugal","Extra-EU28 (current composition)","Asylum applicant","Person","2016","980",""
"Males","Total","Portugal","Extra-EU28 (current composition)","First time applicant","Person","2016","490",""
"Males","Total","Romania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,225",""
"Males","Total","Romania","Extra-EU28 (current composition)","First time applicant","Person","2016","1,200",""
"Males","Total","Slovenia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,085",""
"Males","Total","Slovenia","Extra-EU28 (current composition)","First time applicant","Person","2016","1,055",""
"Males","Total","Slovakia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","105",""
"Males","Total","Slovakia","Extra-EU28 (current composition)","First time applicant","Person","2016","70",""
"Males","Total","Finland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,665",""
"Males","Total","Finland","Extra-EU28 (current composition)","First time applicant","Person","2016","3,420",""
"Males","Total","Sweden","Extra-EU28 (current composition)","Asylum applicant","Person","2016","17,280",""
"Males","Total","Sweden","Extra-EU28 (current composition)","First time applicant","Person","2016","12,955",""
"Males","Total","United Kingdom","Extra-EU28 (current composition)","Asylum applicant","Person","2016","27,325",""
"Males","Total","United Kingdom","Extra-EU28 (current composition)","First time applicant","Person","2016","26,970",""
"Males","Total","Iceland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","810",""
"Males","Total","Iceland","Extra-EU28 (current composition)","First time applicant","Person","2016","790",""
"Males","Total","Liechtenstein","Extra-EU28 (current composition)","Asylum applicant","Person","2016","50",""
"Males","Total","Liechtenstein","Extra-EU28 (current composition)","First time applicant","Person","2016","50",""
"Males","Total","Norway","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,155",""
"Males","Total","Norway","Extra-EU28 (current composition)","First time applicant","Person","2016","1,985",""
"Males","Total","Switzerland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","19,180",""
"Males","Total","Switzerland","Extra-EU28 (current composition)","First time applicant","Person","2016","18,260",""
"Males","Total","Total","Extra-EU28 (current composition)","Asylum applicant","Person","2016","874,595",""
"Males","Total","Total","Extra-EU28 (current composition)","First time applicant","Person","2016","836,060",""
"Males","Less than 14 years","European Union (current composition)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","154,830",""
"Males","Less than 14 years","European Union (current composition)","Extra-EU28 (current composition)","First time applicant","Person","2016","149,925",""
"Males","Less than 14 years","Belgium","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,005",""
"Males","Less than 14 years","Belgium","Extra-EU28 (current composition)","First time applicant","Person","2016","1,685",""
"Males","Less than 14 years","Bulgaria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,090",""
"Males","Less than 14 years","Bulgaria","Extra-EU28 (current composition)","First time applicant","Person","2016","2,070",""
"Males","Less than 14 years","Czech Republic","Extra-EU28 (current composition)","Asylum applicant","Person","2016","110",""
"Males","Less than 14 years","Czech Republic","Extra-EU28 (current composition)","First time applicant","Person","2016","100",""
"Males","Less than 14 years","Denmark","Extra-EU28 (current composition)","Asylum applicant","Person","2016","595",""
"Males","Less than 14 years","Denmark","Extra-EU28 (current composition)","First time applicant","Person","2016","595",""
"Males","Less than 14 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","106,945",""
"Males","Less than 14 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","First time applicant","Person","2016","104,005",""
"Males","Less than 14 years","Estonia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","30",""
"Males","Less than 14 years","Estonia","Extra-EU28 (current composition)","First time applicant","Person","2016","30",""
"Males","Less than 14 years","Ireland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","230",""
"Males","Less than 14 years","Ireland","Extra-EU28 (current composition)","First time applicant","Person","2016","230",""
"Males","Less than 14 years","Greece","Extra-EU28 (current composition)","Asylum applicant","Person","2016","7,695",""
"Males","Less than 14 years","Greece","Extra-EU28 (current composition)","First time applicant","Person","2016","7,655",""
"Males","Less than 14 years","Spain","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,675",""
"Males","Less than 14 years","Spain","Extra-EU28 (current composition)","First time applicant","Person","2016","1,670",""
"Males","Less than 14 years","France","Extra-EU28 (current composition)","Asylum applicant","Person","2016","6,520",""
"Males","Less than 14 years","France","Extra-EU28 (current composition)","First time applicant","Person","2016","6,510",""
"Males","Less than 14 years","Croatia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","140",""
"Males","Less than 14 years","Croatia","Extra-EU28 (current composition)","First time applicant","Person","2016","140",""
"Males","Less than 14 years","Italy","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,665",""
"Males","Less than 14 years","Italy","Extra-EU28 (current composition)","First time applicant","Person","2016","2,630",""
"Males","Less than 14 years","Cyprus","Extra-EU28 (current composition)","Asylum applicant","Person","2016","230",""
"Males","Less than 14 years","Cyprus","Extra-EU28 (current composition)","First time applicant","Person","2016","225",""
